comment_id,author,content,likes,create_time,platform
293372118160,明天后天或者大后天,当初拿别的画师原稿拼尸的时候，怎么没看这么多人抵制，还是嘲讽和谩骂，现在影响到自己就开始叫了[喜极而泣],0,1771922934,bilibili
291005567201,sky迷恋,全球总人数现在为83.705亿人，统计截止时间为2026年2月22日。这么多的人口，习惯使用AI的人数占比有多少？从人性的角度考虑，越大年龄段的人越难快速的接受新鲜事物；并且现有的社会资源及分配社会资源的权利者平均年纪较高；即使AI在技术层面上可以更快速的推进，但在社会普及和认可度上还需更长时间去调整发展。,1,1771852934,bilibili
293010537920,5000年第一极品,三傻为什么没有deepseek？是小鲸鱼不傻还是不带他玩？感觉处理硬核工作确实强过Gemini和GPT，还是因为deepseek只认字？,0,1771680750,bilibili
290741112929,凸口凸口凸,人形机器人的终极战场：🛏,0,1771676476,bilibili
290660663953,超级饿霸,"AI➕人形机，我真觉得大部分人其实已经被淘汰了，很多设备都可以接入AI，只是厂商没在搞这东西。
还有我看评论区说上大学的问题，大学还是要上的，只不过我认为有些专业的学时完全可以压缩，特别是和文字特别相关不太实操的专业，不光是一些文科啊，很多理科也是一样的。
甚至是一些专业读研究生的学制，有些完全就是每年读个百十篇文献，三年读了三四百篇，也没别的工作。有AI会让人读的更快。
当然即便是AI足够强的情况下还有很多伦理问题需要解决。",0,1771636398,bilibili
292655754576,很聪明的雾之湖妖精,所以 版权这个东西到底是怎么解决? 0-o,0,1771467037,bilibili
292654381392,水獭不是水懒这很河狸,00:24 连 ai 都学会了亚裔谄媚的笑容,0,1771466084,bilibili
292654049744,鼠鼠兜里什么也没有,马斯克不对劲，像是担忧自家ai落后的紧急宣传，因为我不理解算力就算力，太空算力是什么鬼啊，这个词听起来很厉害，但是算力中心为什么要搬到太空呢？有没有大佬解惑,2,1771465876,bilibili
292648984832,Vincent_Laurent,宣传的也太少了[笑哭]我一直以为seedance是国外的,0,1771461862,bilibili
292646543888,afward,你戳一个ai电影我看下咋样,0,1771459015,bilibili
