comment_id,author,content,likes,create_time,platform
290329857489,书文实验室,请问你有遇到过反馈429错误吗？ 我订阅的kimi199的套餐，系统创建了4个专家研究一个方案，好多次都是返回429,0,1771401978,bilibili
292367848576,陈浪了哈哈哈哈哈哈,项目开源了吗？,0,1771252526,bilibili
292302951056,风清气正的杰,想搞studio，但是我看国内这路线，token越来越不值钱了，就算了一笔账，中配studio 512g+2t，大概6万6，就算他6万，minimax 去🐟上买个会员50一个月，高级模型随便用，60000÷(50×12)=100，我能让🦞不休息，连续工作100年[吃瓜][吃瓜]（不算电费）。 瞬间不想买studio了,1,1771221637,bilibili
292279917088,HoneyMoonLife,"博主讲的非常好，非常感谢。
这里为什么用kimi模型去做验证呢，而不是用bigmodel，是因为要用到kimi2.5多模型吗？",0,1771210443,bilibili
292255953808,Xero_404,感谢大佬分享！每一期都看，很有启发。我有些问题想问。如果都用api需要对mac有要求吗？目前我的mac主力机 是m3 max 128g，如果想像大佬你这样部署编排蜂群顺序是这样吗：部署claude code-部署openclaw及相关的skills-接入api对吗？我是完全不懂编程代码的小白？网上传的那些安全的问题需要顾及吗？如果是，是不是只能再找一台独立的机子跑这些？希望大佬答疑，再次感谢大佬,1,1771181985,bilibili
290009982817,交易员白马,UP看下私信呗，想跟你学习下,0,1771169182,bilibili
289989338881,霍兰☆妙希,[doge] 商用代码就是有测试。从单元测试，到冒烟测试，集成测试，最后是用户给你测试,1,1771159686,bilibili
289974363857,MIP耀,有打算开源吗 很急 Windows终端没有tmux,0,1771152694,bilibili
292147606912,枸杞君三代,那篇逆向claude code地文章似乎被anthropic官方干掉了，有备份吗？,0,1771125654,bilibili
292146242848,不想作为人,大佬开源吗,1,1771124908,bilibili
292108206704,PunChaF,非常棒啊！请问Dashboard使用什么框架做的？看着像BS架构的。如果真正发布成Skills，是不是一个npm包（后端+数据库+前端），外加SKILLS.MD作为启动？,0,1771086030,bilibili
292105754992,PunChaF,AI Coding目前我最害怕的是，花了几个小时手搓了一个App，代码量巨大，人不可能去细看，用着没啥问题。但是让B模型检查之后，报告了一些严重的问题。A模型修，B模型验证，但是问题总是修复不了，最终只能依靠B模型修。我害怕的是，这是不是真的问题，代码里面是否还有严重的问题，这个App怎么敢商用。。。,20,1771084772,bilibili
289881122609,_张子文,跟着up可以学到好的思想上的启发 确实复利才是王道 昨天高强度vbcoding 用glm5 搓了一个桌面端应用 解决可视化绘制工作流 工作流中的节点也是独立的可以复用 节点中具体做的事情也可以引用各种资源文件 包括规则文件 参考文档 也可以引用各种sub agent [打call][打call][打call],1,1771083631,bilibili
292097531600,星煋Star,开了最贵的plan，没用几下给我限流了，感觉算力不够啊,0,1771080941,bilibili
292089248624,雪天鱼,大佬深度使用下，觉得 Agent team 相比单个 agent，真的带来了比较明显的效率提升嘛，还是和任务的复杂程度有关,0,1771077289,bilibili
292089056608,雪天鱼,讲的很清晰[打call],0,1771077202,bilibili
289857825361,噼里哔哩_PiliBili,强,1,1771073002,bilibili
292071770064,电子搬砖人,问一下做个人项目GLM和Kimi哪个更值一点[星星眼],0,1771069397,bilibili
292069892976,敷衍的我丿,大佬用agent team，token消耗的快吗，我这掉的太快了，两轮对话的消耗,0,1771068546,bilibili
292069656128,蜷着身子的猫,现阶段想在家里电脑以外的地方用上Claude Code和Agent Teams的能力，用Clawbot可以实现吗？还是有更好的路径？过年回老家有空也想继续玩玩这些,1,1771068445,bilibili
